투자금액비중,보유,Ticker,설명,,yahoo,google,현재가격,적정가격,"25년 
적정 EPS","25년 
적정 PER",Fwd PER,적정 PER,목표값-최대,목표값-평균,목표값-중앙,목표값-분석가 의견합 ,구매가,투자금액,평가금액,수익,수익률,상승여력,비중,"
주간가격변화차트",,,,
,0,036930.ks,주성엔지니어링,036930,.ks,KOSDAQ:,210000,"44,650.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,103140.ks,풍산 보통주,103140,.ks,KRX:,72300,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,SERV,Serve Robotics Inc.,SERV,,NASDAQ:,7.75,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,031980.ks,피에스케이홀딩스,031980,.ks,KOSDAQ:,126400,"64,000.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,071970.ks,에이치디현대마린엔진보통주,071970,.ks,KRX:,65800,"26,000.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,KRKNF,Kraken Robotics Inc.,KRKNF,,,5.42,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,008730.ks,율촌화학보통주,008730,.ks,KRX:,17500,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
0.00%,0,340570.ks,티앤엘,340570,.ks,KOSDAQ:,"55,400.00","97,500.00",3.87,,,,,"105,000",,,"63,928",,,,#DIV/0!,89.53%,0.00%,,,,,
0.00%,0,SOXL,3X ETF,SOXL,,,$182.54,,,,,,,,,,$33.88,$0.00,$0.00,$0.00,#DIV/0!,-100.00%,0.00%,,,,,
0.00%,0,305080.ks,Tiger 미국채 선물,305080,.ks,KRX:,"13,860.00",,,,,,,,,,"13,215.00",0.00,0,0.00,#DIV/0!,-100.00%,0.00%,,카카오,키움2,키움1,
,0,,,,,,,,,,,,,,,,,,,,,,,,18.42,13.1427,19.11,
0.00%,0,TSLL,테슬라 2x,TSLL,,,$12.72,,,,,,,,,,$10.55,$0.00,$0.00,$0.00,#DIV/0!,-100.00%,0.00%,,43,166,23,232
0.00%,0,026960.ks,동서,026960,.ks,KRX:,"23,650.00",,,,,,,,,,"26,000.00",0.00,0,0.00,#DIV/0!,-100.00%,0.00%,,792.06,2181.6882,439.53,3413.2782
0.00%,0,UNH,United Health Group,UNH,,NYSE:,399.47,365.77,,,,,,365.77,,,$294.33,$0.00,$0.00,$0.00,#DIV/0!,-8.44%,0.00%,,,,,
0.00%,0,TEM,템퍼스AI,TEM,,NASDAQ:,46.43,,,,,,,67.14,,,$68.00,$0.00,$0.00,$0.00,#DIV/0!,44.60%,0.00%,,43,,,
6.60%,42,005930.ks,삼성전자,005930,.ks,KRX:,"329,000.00",,,,,,,"374,000.00",,,"65,861","2,766,162","13,818,000","11,051,838",399.54%,13.68%,6.60%,,,,,
0.00%,0,QQQ,QQQ,QQQ,,,$705.06,,,,,,,,,,$530.40,$0.00,$0.00,$0.00,#DIV/0!,-100.00%,0.00%,,,,,
0.00%,0,494670.ks,타이거 조선 T10 ETF,494670,.ks,KRX:,"27,930.00",,,,,,,"25,000.00",,,"21,655",0,0,0,#DIV/0!,-10.49%,0.00%,,,,,
0.00%,0,nbis,네비우스그룹,nbis,,,$227.81,,,,,,,66.50,,,$89.53,$0.00,$0.00,$0.00,#DIV/0!,-70.81%,0.00%,,,,,
0.00%,0,smci,슈퍼마이크로컴퓨터,smci,,,$41.64,,,,,,,40.69,,,$44.47,$0.00,$0.00,$0.00,#DIV/0!,-2.28%,0.00%,,,,,
0.00%,0,ai,c3.ai,ai,,,$10.43,,,,,,,28.69,,,$24.16,$0.00,$0.00,$0.00,#DIV/0!,175.07%,0.00%,,,,,
0.00%,0,pgy,파가야테크놀리즈,pgy,,,$14.56,,,,,,,22.53,,,$18.85,$0.00,$0.00,$0.00,#DIV/0!,54.74%,0.00%,,,,,
4.80%,155,494670.ks,키움 미국양자컴퓨팅,498270,.ks,KRX:,"19,200.00",,,,,,,"17,000.00",,,"12,979.00","2,011,745.00","2,976,000.00","964,255.00",47.93%,-11.46%,4.80%,,,,,
0.00%,0,TSLL,TSLL,TSLL,,,$12.72,,,,,,,,,,$14.83,$0.00,$0.00,$0.00,#DIV/0!,-100.00%,0.00%,,,,,
0.00%,0,CLS,셀레스티카,CLS,,,$371.71,,,,,,,,,,$147.64,$0.00,$0.00,$0.00,#DIV/0!,-100.00%,0.00%,,,,,
0.00%,0,HIMS,힘즈&허즈,HIMS,,,$26.19,,,,,,,,,,$46.78,$0.00,$0.00,$0.00,#DIV/0!,-100.00%,0.00%,,,,,
0.62%,1,LABU,LABU,LABU,,,$160.26,,,#VALUE!,Deprecated. Use =FINANCE instead,,Deprecated. Use =FINANCE instead,4.00,,,166.50,$166.50,$160.26,-$6.24,-3.75%,-97.50%,0.62%,#N/A,,,,
